id,name,artists,genre,popularity,duration_ms,features,detail
5AM8R0UF2OYsO1yjiy5khg,Spider Monkey,"['Beth Gibbons', 'Rustin Man']",trip-hop,37.0,248426.0,"{'tempo': 93.96, 'key': 9, 'mode': 1, 'key_confidence': 0.71, 'energy': 0.28, 'danceability': 0.48, 'valence': 0.65, 'instrumentalness': 0.79, 'acousticness': 0.97, 'loudness': 0.38, 'segments': {'count': 27, 'average_duration': 0.64}, 'beats': {'count': 27, 'regularity': 0.87}}",
5yWVfYEeQRPuFtytvkOgU1,Beautiful Ones,['Suede'],,59.0,,"{'tempo': 101.33, 'key': 3, 'mode': 0, 'key_confidence': 0.61, 'energy': 0.39, 'danceability': 0.38, 'valence': 0.49, 'instrumentalness': 0.73, 'acousticness': 0.95, 'loudness': 0.12, 'segments': {'count': 38, 'average_duration': 0.59}, 'beats': {'count': 38, 'regularity': 0.95}}",
3TDb3Hz5FZRqZE5AGwOnE5,Here It Comes Again,['The Jesus and Mary Chain'],indie pop,15.0,151666.0,"{'tempo': 93.96, 'key': 4, 'mode': 1, 'key_confidence': 0.65, 'energy': 0.43, 'danceability': 0.41, 'valence': 0.79, 'instrumentalness': 0.74, 'acousticness': 0.93, 'loudness': 0.03, 'segments': {'count': 45, 'average_duration': 0.64}, 'beats': {'count': 45, 'regularity': 0.92}}",
5Y26IRiNkd96nZRixU7Jjo,Takayama Dawn,['Alfie-Jay Winters'],,25.0,,"{'tempo': 136.0, 'key': 5, 'mode': 0, 'key_confidence': 0.65, 'energy': 0.29, 'danceability': 0.43, 'valence': 0.32, 'instrumentalness': 0.79, 'acousticness': 0.95, 'loudness': 0.38, 'segments': {'count': 65, 'average_duration': 0.44}, 'beats': {'count': 65, 'regularity': 0.93}}",
187v3X9L3YAgHIw6hq0DlF,The Two of Us (feat. Sky Ferreira),"['Sky Ferreira', 'The Jesus and Mary Chain']",punk-rock,35.0,251626.0,"{'tempo': 89.1, 'key': 1, 'mode': 0, 'key_confidence': 0.69, 'energy': 0.38, 'danceability': 0.4, 'valence': 0.48, 'instrumentalness': 0.75, 'acousticness': 0.94, 'loudness': 0.17, 'segments': {'count': 43, 'average_duration': 0.67}, 'beats': {'count': 43, 'regularity': 0.85}}",
4giWHgbPayWRvFe0JJUa8I,Meanwhile... In Genova,['THE S.L.P.'],,41.0,,"{'tempo': 101.33, 'key': 6, 'mode': 1, 'key_confidence': 0.77, 'energy': 0.32, 'danceability': 0.4, 'valence': 0.76, 'instrumentalness': 0.75, 'acousticness': 0.98, 'loudness': 0.26, 'segments': {'count': 49, 'average_duration': 0.59}, 'beats': {'count': 49, 'regularity': 0.97}}",
5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,"['Dwele', 'Kanye West']",hip-hop,87.0,237506.0,"{'tempo': 90.67, 'key': 9, 'mode': 1, 'key_confidence': 0.59, 'energy': 0.31, 'danceability': 0.42, 'valence': 0.78, 'instrumentalness': 0.78, 'acousticness': 0.96, 'loudness': 0.35, 'segments': {'count': 42, 'average_duration': 0.66}, 'beats': {'count': 42, 'regularity': 0.91}}",
0L4YCNRfXAoTvdpWeH2RGj,Begin Again,['Taylor Swift'],,59.0,,"{'tempo': 161.5, 'key': 2, 'mode': 1, 'key_confidence': 0.71, 'energy': 0.34, 'danceability': 0.44, 'valence': 0.81, 'instrumentalness': 0.76, 'acousticness': 0.95, 'loudness': 0.25, 'segments': {'count': 78, 'average_duration': 0.37}, 'beats': {'count': 78, 'regularity': 0.93}}",
4L321mZADfO4S04ICSIrwR,Give Up,['Low Roar'],indie,51.0,186600.0,"{'tempo': 103.36, 'key': 0, 'mode': 0, 'key_confidence': 0.61, 'energy': 0.28, 'danceability': 0.39, 'valence': 0.32, 'instrumentalness': 0.77, 'acousticness': 0.98, 'loudness': 0.32, 'segments': {'count': 51, 'average_duration': 0.58}, 'beats': {'count': 51, 'regularity': 0.88}}",
4ujUbvyGtlXFuGzCPwp8At,What Katie Did,['The Libertines'],garage,52.0,229840.0,"{'tempo': 84.72, 'key': 9, 'mode': 0, 'key_confidence': 0.67, 'energy': 0.3, 'danceability': 0.45, 'valence': 0.4, 'instrumentalness': 0.78, 'acousticness': 0.97, 'loudness': 0.31, 'segments': {'count': 42, 'average_duration': 0.71}, 'beats': {'count': 42, 'regularity': 0.9}}",
