genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Relax/Chill
,68.0,,178.21,3.0,1.0,0.58,0.36,0.54,0.81,0.75,0.93,0.22,81.0,0.34,81.0,0.95,Relax/Chill
,63.0,,90.67,9.0,1.0,0.61,0.37,0.38,0.78,0.72,0.96,0.17,44.0,0.66,44.0,0.93,Relax/Chill
,64.0,,126.05,5.0,0.0,0.59,0.35,0.45,0.5,0.74,0.93,0.26,51.0,0.48,51.0,0.96,Relax/Chill
,64.0,,95.7,1.0,0.0,0.66,0.38,0.35,0.49,0.73,0.95,0.14,48.0,0.63,48.0,0.86,Angry/Frustrated
,62.0,,84.72,3.0,0.0,0.66,0.36,0.38,0.48,0.73,0.96,0.16,40.0,0.71,40.0,0.91,Happy/Excited
,57.0,,126.05,3.0,0.0,0.6,0.38,0.46,0.5,0.73,0.94,0.13,63.0,0.48,63.0,0.9,Happy/Excited
,56.0,,166.71,10.0,1.0,0.55,0.39,0.44,0.81,0.74,0.94,0.15,82.0,0.36,82.0,0.96,Relax/Chill
,56.0,,97.51,5.0,1.0,0.61,0.39,0.4,0.79,0.73,0.93,0.16,47.0,0.62,47.0,0.9,Happy/Excited
,64.0,,105.47,10.0,0.0,0.52,0.31,0.53,0.49,0.77,0.95,0.3,20.0,0.57,20.0,0.86,Happy/Excited
,56.0,,120.19,2.0,1.0,0.5,0.34,0.45,0.79,0.76,0.95,0.27,56.0,0.5,56.0,0.92,Relax/Chill
,70.0,,129.2,9.0,1.0,0.6,0.35,0.57,0.8,0.75,0.94,0.22,33.0,0.46,33.0,0.92,Relax/Chill
,67.0,,129.2,9.0,1.0,0.6,0.37,0.51,0.8,0.72,0.94,0.12,33.0,0.46,33.0,0.89,Relax/Chill
,67.0,,89.1,11.0,1.0,0.56,0.38,0.41,0.79,0.73,0.94,0.13,42.0,0.67,42.0,0.91,Happy/Excited
,47.0,,129.2,2.0,1.0,0.5,0.37,0.62,0.8,0.74,0.93,0.2,20.0,0.46,20.0,0.89,Happy/Excited
,40.0,,99.38,8.0,0.0,0.52,0.36,0.43,0.49,0.75,0.94,0.22,46.0,0.6,46.0,0.92,Happy/Excited
,48.0,,147.66,2.0,0.0,0.65,0.38,0.5,0.51,0.74,0.93,0.16,63.0,0.41,63.0,0.92,Happy/Excited
j-rock,45.0,,156.61,7.0,1.0,0.67,0.35,0.43,0.8,0.75,0.95,0.21,77.0,0.38,77.0,0.96,Relax/Chill
,35.0,,97.51,7.0,1.0,0.56,0.35,0.39,0.78,0.74,0.96,0.21,46.0,0.62,46.0,0.92,Happy/Excited
j-rock,45.0,255218.0,147.66,9.0,1.0,0.56,0.32,0.49,0.75,0.75,0.98,0.25,72.0,0.41,72.0,0.93,Happy/Excited
,41.0,,143.55,4.0,1.0,0.6,0.35,0.48,0.8,0.73,0.95,0.22,68.0,0.42,68.0,0.95,Happy/Excited
,44.0,,152.0,8.0,0.0,0.53,0.37,0.44,0.51,0.74,0.94,0.19,71.0,0.39,71.0,0.94,Relax/Chill
,50.0,,95.7,9.0,1.0,0.48,0.35,0.48,0.79,0.76,0.93,0.26,1.0,0.63,1.0,0.0,Relax/Chill
,52.0,,129.2,7.0,1.0,0.52,0.37,0.47,0.8,0.73,0.95,0.2,63.0,0.46,63.0,0.94,Happy/Excited
,51.0,,143.55,9.0,0.0,0.72,0.37,0.51,0.5,0.73,0.94,0.2,67.0,0.42,67.0,0.93,Happy/Excited
,43.0,,87.59,3.0,0.0,0.62,0.38,0.38,0.48,0.73,0.94,0.16,41.0,0.68,41.0,0.9,Happy/Excited
,41.0,,99.38,8.0,0.0,0.6,0.4,0.39,0.49,0.74,0.93,0.13,48.0,0.6,48.0,0.9,Happy/Excited
,37.0,,95.7,9.0,1.0,0.59,0.37,0.45,0.79,0.76,0.95,0.19,32.0,0.63,32.0,0.87,Happy/Excited
,42.0,,126.05,11.0,1.0,0.62,0.36,0.46,0.8,0.73,0.96,0.18,61.0,0.48,61.0,0.95,Happy/Excited
,38.0,,107.67,8.0,1.0,0.53,0.36,0.47,0.79,0.75,0.96,0.18,33.0,0.56,33.0,0.9,Happy/Excited
,32.0,,99.38,4.0,1.0,0.58,0.34,0.38,0.78,0.74,0.96,0.2,47.0,0.6,47.0,0.84,Happy/Excited
,27.0,,105.47,10.0,0.0,0.63,0.35,0.53,0.49,0.76,0.95,0.19,7.0,0.57,7.0,0.8,Happy/Excited
,27.0,,129.2,10.0,1.0,0.61,0.4,0.41,0.8,0.73,0.93,0.09,64.0,0.46,64.0,0.93,Happy/Excited
,46.0,,126.05,3.0,1.0,0.66,0.36,0.43,0.8,0.75,0.94,0.19,60.0,0.48,60.0,0.95,Happy/Excited
,65.0,,87.59,4.0,1.0,0.49,0.36,0.45,0.78,0.74,0.95,0.2,32.0,0.68,32.0,0.89,Happy/Excited
,59.0,,87.59,11.0,1.0,0.49,0.34,0.44,0.78,0.75,0.96,0.23,32.0,0.68,32.0,0.9,Relax/Chill
,51.0,,92.29,0.0,1.0,0.49,0.34,0.48,0.78,0.75,0.96,0.21,32.0,0.65,32.0,0.93,Relax/Chill
,51.0,,87.59,9.0,1.0,0.59,0.35,0.41,0.78,0.75,0.96,0.21,32.0,0.68,32.0,0.93,Relax/Chill
,50.0,,112.35,2.0,1.0,0.63,0.33,0.54,0.77,0.74,0.97,0.21,33.0,0.53,33.0,0.87,Relax/Chill
,48.0,,90.67,9.0,1.0,0.56,0.33,0.48,0.78,0.75,0.96,0.24,30.0,0.66,30.0,0.89,Happy/Excited
,32.0,,92.29,0.0,1.0,0.63,0.36,0.47,0.79,0.74,0.95,0.18,33.0,0.65,33.0,0.9,Relax/Chill
,32.0,,97.51,4.0,0.0,0.48,0.36,0.45,0.49,0.74,0.95,0.18,30.0,0.62,30.0,0.91,Relax/Chill
,32.0,,117.45,4.0,1.0,0.52,0.36,0.53,0.79,0.74,0.94,0.17,22.0,0.51,22.0,0.95,Happy/Excited
,39.0,,143.55,5.0,1.0,0.58,0.37,0.47,0.8,0.72,0.95,0.16,70.0,0.42,70.0,0.95,Relax/Chill
metal,49.0,175386.0,105.47,9.0,1.0,0.66,0.37,0.37,0.79,0.74,0.94,0.21,52.0,0.57,52.0,0.91,Relax/Chill
metal,45.0,228120.0,84.72,0.0,0.0,0.59,0.38,0.38,0.48,0.73,0.94,0.16,38.0,0.71,38.0,0.92,Happy/Excited
